,Filename,ClassId
412,./data/Train/00026/00013_00022.ppm,26
1135,./data/Train/00011/00037_00025.ppm,11
622,./data/Train/00011/00020_00022.ppm,11
80,./data/Train/00001/00002_00020.ppm,1
961,./data/Train/00003/00032_00001.ppm,3
300,./data/Train/00003/00010_00000.ppm,3
331,./data/Train/00038/00011_00001.ppm,38
433,./data/Train/00014/00014_00013.ppm,14
680,./data/Train/00035/00022_00020.ppm,35
202,./data/Train/00024/00006_00022.ppm,24
482,./data/Train/00012/00016_00002.ppm,12
348,./data/Train/00005/00011_00018.ppm,5
650,./data/Train/00017/00021_00020.ppm,17
1361,./data/Train/00025/00045_00011.ppm,25
795,./data/Train/00012/00026_00015.ppm,12
367,./data/Train/00023/00012_00007.ppm,23
213,./data/Train/00039/00007_00003.ppm,39
951,./data/Train/00013/00031_00021.ppm,13
169,./data/Train/00041/00005_00019.ppm,41
1046,./data/Train/00017/00034_00026.ppm,17
961,./data/Train/00004/00032_00001.ppm,4
1352,./data/Train/00002/00045_00002.ppm,2
1683,./data/Train/00002/00056_00003.ppm,2
936,./data/Train/00004/00031_00006.ppm,4
1997,./data/Train/00038/00066_00017.ppm,38
1446,./data/Train/00010/00048_00006.ppm,10
129,./data/Train/00022/00004_00009.ppm,22
654,./data/Train/00033/00021_00025.ppm,33
1049,./data/Train/00003/00034_00029.ppm,3
1208,./data/Train/00010/00040_00008.ppm,10
466,./data/Train/00018/00015_00016.ppm,18
690,./data/Train/00031/00023_00000.ppm,31
24,./data/Train/00013/00000_00024.ppm,13
1006,./data/Train/00010/00033_00016.ppm,10
355,./data/Train/00012/00011_00025.ppm,12
88,./data/Train/00028/00002_00028.ppm,28
746,./data/Train/00011/00024_00026.ppm,11
671,./data/Train/00035/00022_00011.ppm,35
1490,./data/Train/00004/00049_00020.ppm,4
184,./data/Train/00033/00006_00004.ppm,33
1039,./data/Train/00002/00034_00019.ppm,2
1437,./data/Train/00004/00047_00027.ppm,4
654,./data/Train/00008/00021_00024.ppm,8
740,./data/Train/00025/00024_00020.ppm,25
91,./data/Train/00032/00003_00001.ppm,32
618,./data/Train/00005/00020_00018.ppm,5
671,./data/Train/00004/00022_00011.ppm,4
1298,./data/Train/00002/00043_00008.ppm,2
1681,./data/Train/00005/00056_00001.ppm,5
924,./data/Train/00004/00030_00024.ppm,4
214,./data/Train/00040/00007_00004.ppm,40
1639,./data/Train/00004/00054_00019.ppm,4
405,./data/Train/00001/00013_00015.ppm,1
427,./data/Train/00011/00014_00007.ppm,11
78,./data/Train/00007/00002_00018.ppm,7
1128,./data/Train/00013/00037_00018.ppm,13
1384,./data/Train/00001/00046_00004.ppm,1
27,./data/Train/00031/00000_00027.ppm,31
209,./data/Train/00038/00006_00029.ppm,38
185,./data/Train/00023/00006_00005.ppm,23
308,./data/Train/00008/00010_00008.ppm,8
2,./data/Train/00040/00000_00002.ppm,40
61,./data/Train/00008/00002_00001.ppm,8
352,./data/Train/00030/00011_00022.ppm,30
1378,./data/Train/00013/00045_00028.ppm,13
820,./data/Train/00008/00027_00010.ppm,8
83,./data/Train/00013/00002_00023.ppm,13
65,./data/Train/00024/00002_00005.ppm,24
1348,./data/Train/00005/00044_00028.ppm,5
710,./data/Train/00018/00023_00020.ppm,18
1122,./data/Train/00001/00037_00012.ppm,1
822,./data/Train/00009/00027_00012.ppm,9
553,./data/Train/00012/00018_00013.ppm,12
1358,./data/Train/00005/00045_00008.ppm,5
2076,./data/Train/00013/00069_00006.ppm,13
1264,./data/Train/00038/00042_00004.ppm,38
160,./data/Train/00033/00005_00010.ppm,33
824,./data/Train/00004/00027_00014.ppm,4
256,./data/Train/00039/00008_00016.ppm,39
624,./data/Train/00012/00020_00024.ppm,12
138,./data/Train/00034/00004_00018.ppm,34
399,./data/Train/00009/00013_00009.ppm,9
1462,./data/Train/00012/00048_00022.ppm,12
602,./data/Train/00004/00020_00002.ppm,4
1195,./data/Train/00012/00039_00025.ppm,12
789,./data/Train/00035/00026_00009.ppm,35
1864,./data/Train/00001/00062_00004.ppm,1
1029,./data/Train/00009/00034_00009.ppm,9
956,./data/Train/00004/00031_00026.ppm,4
714,./data/Train/00038/00023_00024.ppm,38
697,./data/Train/00010/00023_00007.ppm,10
428,./data/Train/00023/00014_00008.ppm,23
1020,./data/Train/00004/00034_00000.ppm,4
994,./data/Train/00005/00033_00004.ppm,5
1277,./data/Train/00004/00042_00017.ppm,4
674,./data/Train/00031/00022_00014.ppm,31
461,./data/Train/00025/00015_00011.ppm,25
199,./data/Train/00004/00006_00019.ppm,4
528,./data/Train/00026/00017_00018.ppm,26
540,./data/Train/00015/00018_00000.ppm,15
757,./data/Train/00009/00025_00007.ppm,9
1693,./data/Train/00010/00056_00013.ppm,10
126,./data/Train/00042/00004_00006.ppm,42
1281,./data/Train/00003/00042_00021.ppm,3
1100,./data/Train/00011/00036_00020.ppm,11
530,./data/Train/00007/00017_00020.ppm,7
829,./data/Train/00025/00027_00019.ppm,25
1075,./data/Train/00013/00035_00025.ppm,13
1499,./data/Train/00002/00049_00029.ppm,2
297,./data/Train/00012/00009_00027.ppm,12
1495,./data/Train/00005/00049_00025.ppm,5
223,./data/Train/00025/00007_00013.ppm,25
1274,./data/Train/00012/00042_00014.ppm,12
444,./data/Train/00015/00014_00024.ppm,15
2215,./data/Train/00001/00073_00025.ppm,1
74,./data/Train/00028/00002_00014.ppm,28
149,./data/Train/00013/00004_00029.ppm,13
998,./data/Train/00012/00033_00008.ppm,12
794,./data/Train/00007/00026_00014.ppm,7
1371,./data/Train/00008/00045_00021.ppm,8
1985,./data/Train/00013/00066_00005.ppm,13
179,./data/Train/00010/00005_00029.ppm,10
735,./data/Train/00014/00024_00015.ppm,14
1642,./data/Train/00002/00054_00022.ppm,2
575,./data/Train/00002/00019_00005.ppm,2
1294,./data/Train/00005/00043_00004.ppm,5
1284,./data/Train/00012/00042_00024.ppm,12
175,./data/Train/00017/00005_00025.ppm,17
894,./data/Train/00009/00029_00024.ppm,9
705,./data/Train/00014/00023_00015.ppm,14
1597,./data/Train/00002/00053_00007.ppm,2
271,./data/Train/00010/00009_00001.ppm,10
1441,./data/Train/00012/00048_00001.ppm,12
1142,./data/Train/00011/00038_00002.ppm,11
1100,./data/Train/00017/00036_00020.ppm,17
190,./data/Train/00016/00006_00010.ppm,16
97,./data/Train/00021/00003_00007.ppm,21
1631,./data/Train/00005/00054_00011.ppm,5
1091,./data/Train/00010/00036_00011.ppm,10
682,./data/Train/00004/00022_00022.ppm,4
382,./data/Train/00035/00012_00022.ppm,35
557,./data/Train/00009/00018_00017.ppm,9
49,./data/Train/00023/00001_00019.ppm,23
783,./data/Train/00038/00026_00003.ppm,38
540,./data/Train/00005/00018_00000.ppm,5
497,./data/Train/00009/00016_00017.ppm,9
1801,./data/Train/00002/00060_00001.ppm,2
